#: table_doi: 10.17182/hepdata.95735.v1/t3
#: name: Table 3
#: description: Summary of results for charm muon v2 as a function of pT for different centrality.  Uncertainties are statistical and systematic, respectively.
#: data_file: data3.yaml
#: keyword reactions: P P --> c --> muon + X
#: keyword observables: v2
#: keyword cmenergies: 5020.0
#: keyword phrases: charm muon | v2 | Proton-Proton Collision
#: RE,Pb+Pb --> charm muon + X
#: SQRT(S_NN) [GeV],5020.0
#: Centrality,10-20%
# <PT> [GEV],v2,stat +,stat -,syst +,syst -
4.25  0.1097  0.00574  -0.00574  0.01763  -0.01763
4.75  0.1048  0.00715  -0.00715  0.01858  -0.01858
5.25  0.0853  0.00908  -0.00908  0.01822  -0.01822
5.75  0.1048  0.01154  -0.01154  0.01755  -0.01755
6.5  0.069  0.00879  -0.00879  0.01621  -0.01621
7.5  0.0749  0.01109  -0.01109  0.01433  -0.01433
9.0  0.0665  0.00617  -0.00617  0.01341  -0.01341
11.0  0.052  0.00983  -0.00983  0.01182  -0.01182
13.0  0.0527  0.0126  -0.0126  0.01124  -0.01124
15.5  0.0419  0.01598  -0.01598  0.01093  -0.01093
18.5  0.0155  0.02088  -0.02088  0.01071  -0.01071
