#: table_doi: 10.17182/hepdata.64892.v1/t3
#: name: Table 3
#: description: The rapidity dependence of the inclusive JPsi nuclear modification factor obtained in p-Pb and Pb-p collisions. The first uncertainty is statistical, the second one is the uncorrelated systematic uncertainty, while the third one is the partially correlated systematic uncertainty. The fourth is a global uncertainty common to p-Pb and Pb-p results.
#: data_file: Table3.yaml
#: keyword reactions: P PB --> J/PSI < MU+ MU- > X
#: keyword phrases: Inclusive | J/Psi | Muon production
#: SQRT(S)/NUCLEON,,,5020.0 GeV
#: YRAP(RF=CM),,,-4.46 - -2.96, 2.03 - 3.53
# Y_CMS,Y_CMS LOW,Y_CMS HIGH,RAA_JPSI,stat +,stat -,"sys,uncor +","sys,uncor -","sys,part.cor. +","sys,part.cor. -","sys,global +","sys,global -"
2.155  2.03  2.28  0.74  0.02  -0.02  0.06  -0.06  0.07  -0.07  0.05  -0.05
2.405  2.28  2.53  0.74  0.01  -0.01  0.06  -0.06  0.05  -0.05  0.05  -0.05
2.655  2.53  2.78  0.7  0.01  -0.01  0.05  -0.05  0.02  -0.02  0.05  -0.05
2.905  2.78  3.03  0.67  0.01  -0.01  0.05  -0.05  0.02  -0.02  0.04  -0.04
3.155  3.03  3.28  0.65  0.01  -0.01  0.05  -0.05  0.02  -0.02  0.04  -0.04
3.405  3.28  3.53  0.64  0.02  -0.02  0.05  -0.05  0.02  -0.02  0.04  -0.04
-3.085  -3.21  -2.96  1.08  0.03  -0.03  0.1  -0.1  0.03  -0.03  0.07  -0.07
-3.335  -3.46  -3.21  1.06  0.02  -0.02  0.09  -0.09  0.03  -0.03  0.07  -0.07
-3.585  -3.71  -3.46  1.05  0.02  -0.02  0.09  -0.09  0.02  -0.02  0.07  -0.07
-3.835  -3.96  -3.71  1.06  0.02  -0.02  0.1  -0.1  0.02  -0.02  0.07  -0.07
-4.085  -4.21  -3.96  1.05  0.02  -0.02  0.12  -0.12  0.05  -0.05  0.07  -0.07
-4.335  -4.46  -4.21  1.12  0.03  -0.03  0.18  -0.18  0.09  -0.09  0.07  -0.07

